#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: DDiscovery
#Serial Number: SN:210321B0F45A
#Date Time: 2022-08-29 19:34:50.492
#Sample rate: 1e+08Hz
#Samples: 32768

Time (s);ADDR;VBLK;W3A09;NMI;IRQ;IMS;W3A0A;FIRQ;BLK
-0.00031383;h1BC6;1;1;0;1;0;1;1;0
-0.00031382;h1BC6;1;1;0;1;0;1;1;0
-0.00031381;h1BC6;1;1;0;1;0;1;1;0
-0.0003138;h1BC6;1;1;0;1;0;1;1;0
-0.00031379;h1BC6;1;1;0;1;0;1;1;0
-0.00031378;h1BC6;1;1;0;1;0;1;1;0
-0.00031377;h1BC6;1;1;0;1;0;1;1;0
-0.00031376;h1BC6;1;1;0;1;0;1;1;0
-0.00031375;h1BC6;1;1;0;1;0;1;1;0
-0.00031374;h1BC6;1;1;0;1;0;1;1;0
-0.00031373;h1BC6;1;1;0;1;0;1;1;0
-0.00031372;h1BC6;1;1;0;1;0;1;1;0
-0.00031371;h1BC6;1;1;0;1;0;1;1;0
-0.0003137;h1BC6;1;1;0;1;0;1;1;0
-0.00031369;h1BC6;1;1;0;1;0;1;1;0
-0.00031368;h1BC6;1;1;0;1;0;1;1;0
-0.00031367;h1BC6;1;1;0;1;0;1;1;0
-0.00031366;h1BC6;1;1;0;1;0;1;1;0
-0.00031365;h1BC6;1;1;0;1;0;1;1;0
-0.00031364;h1BC6;1;1;0;1;0;1;1;0
-0.00031363;h1BC6;1;1;0;1;0;1;1;0
-0.00031362;h1BC6;1;1;0;1;0;1;1;0
-0.00031361;h1BC6;1;1;0;1;0;1;1;0
-0.0003136;h1BC6;1;1;0;1;0;1;1;0
-0.00031359;h1BC6;1;1;0;1;0;1;1;0
-0.00031358;h1BC6;1;1;0;1;0;1;1;0
-0.00031357;h1BC6;1;1;0;1;0;1;1;0
-0.00031356;hFFFF;1;1;0;1;0;1;1;0
-0.00031355;hFFFF;1;1;0;1;0;1;1;0
-0.00031354;hFFFF;1;1;0;1;0;1;1;0
-0.00031353;hFFFF;1;1;0;1;0;1;1;0
-0.00031352;hFFFF;1;1;0;1;0;1;1;0
-0.00031351;hFFFF;1;1;0;1;0;1;1;0
-0.0003135;hFFFF;1;1;0;1;0;1;1;0
-0.00031349;hFFFF;1;1;0;1;0;1;1;0
-0.00031348;hFFFF;1;1;0;1;0;1;1;0
-0.00031347;hFFFF;1;1;0;1;0;1;1;0
-0.00031346;hFFFF;1;1;0;1;0;1;1;0
-0.00031345;hFFFF;1;1;0;1;0;1;1;0
-0.00031344;hFFFF;1;1;0;1;0;1;1;0
-0.00031343;hFFFF;1;1;0;1;0;1;1;0
-0.00031342;hFFFF;1;1;0;1;0;1;1;0
-0.00031341;hFFFF;1;1;0;1;0;1;1;0
-0.0003134;hFFFF;1;1;0;1;0;1;1;0
